angle,curLapTime,damage,distFromStart,distRaced,fuel,gear,lastLapTime,racePos,rpm,speedX,speedY,speedZ,trackPos,wheelSpinVel_0,wheelSpinVel_1,wheelSpinVel_2,wheelSpinVel_3,z,focus_0,focus_1,focus_2,focus_3,focus_4,accel,brake,clutch,gear.1,steer,focus_0.1,focus_1.1,focus_2.1,focus_3.1,focus_4.1,meta,sector,lap,avg_speed,min_speed,max_brake,brake_start,brake_duration,sector_time,throttle_reapply
0.00704878,1.004,0,3599.99,1.54761,93.9774,1,0,1,1595.77,13.7511,-0.0528234,0.176268,0.33088,12.7565,12.2936,11.7528,11.7528,0.345162,-1,-1,-1,-1,-1,1,0,0,1,-0.0222412,-90,-45,0,45,90,0,11,1,40.68,14,0,,0,2.014,3270.98
0.00704878,1.004,0,3599.99,1.54761,93.9774,1,0,1,1595.77,13.7511,-0.0528234,0.176268,0.33088,12.7565,12.2936,11.7528,11.7528,0.345162,-1,-1,-1,-1,-1,1,0,0,1,-0.0222412,-90,-45,0,45,90,0,11,2,160.16,149.41,0,,0,17.996,2474.77
0.00704878,1.004,0,3599.99,1.54761,93.9774,1,0,1,1595.77,13.7511,-0.0528234,0.176268,0.33088,12.7565,12.2936,11.7528,11.7528,0.345162,-1,-1,-1,-1,-1,1,0,0,1,-0.0222412,-90,-45,0,45,90,0,11,3,180.05,179.8,0,,0,16,2496.68
0.0171916,2.006,0,3607.05,8.60571,93.9675,1,0,1,5339.85,40.4559,-0.0215281,0.447202,0.313061,33.9121,33.9475,39.4967,39.4967,0.344525,-1,-1,-1,-1,-1,0.9,0,0,1,-0.004271985,-90,-45,0,45,90,0,11,1,40.68,14,0,,0,2.014,3270.98
0.0171916,2.006,0,3607.05,8.60571,93.9675,1,0,1,5339.85,40.4559,-0.0215281,0.447202,0.313061,33.9121,33.9475,39.4967,39.4967,0.344525,-1,-1,-1,-1,-1,0.9,0,0,1,-0.004271985,-90,-45,0,45,90,0,11,2,160.16,149.41,0,,0,17.996,2474.77
0.0171916,2.006,0,3607.05,8.60571,93.9675,1,0,1,5339.85,40.4559,-0.0215281,0.447202,0.313061,33.9121,33.9475,39.4967,39.4967,0.344525,-1,-1,-1,-1,-1,0.9,0,0,1,-0.004271985,-90,-45,0,45,90,0,11,3,180.05,179.8,0,,0,16,2496.68
0.047491,3.018,0,14.9045,24.9045,93.9422,2,0,1,5269.08,69.5849,0.24033,0.95614,0.217682,58.7223,58.1054,61.6045,61.6045,0.342667,-1,-1,-1,-1,-1,0.9,0,0,2,0.053345142,-90,-45,0,45,90,0,1,2,136.19,84.47,0,,0,12.994,20.41
0.047491,3.018,0,14.9045,24.9045,93.9422,2,0,1,5269.08,69.5849,0.24033,0.95614,0.217682,58.7223,58.1054,61.6045,61.6045,0.342667,-1,-1,-1,-1,-1,0.9,0,0,2,0.053345142,-90,-45,0,45,90,0,1,3,180.1,179.82,0,,0,9.02,100.71
0.0152101,4.008,0,37.5063,47.5063,93.9139,2,0,1,7177.92,94.5573,-0.207889,1.67887,0.0652786,79.5564,79.1678,83.9292,83.9292,0.340865,-1,-1,-1,-1,-1,0.9,0,0,2,0.020269159,-90,-45,0,45,90,0,1,2,136.19,84.47,0,,0,12.994,20.41
0.0152101,4.008,0,37.5063,47.5063,93.9139,2,0,1,7177.92,94.5573,-0.207889,1.67887,0.0652786,79.5564,79.1678,83.9292,83.9292,0.340865,-1,-1,-1,-1,-1,0.9,0,0,2,0.020269159,-90,-45,0,45,90,0,1,3,180.1,179.82,0,,0,9.02,100.71
0.00274757,5.02,0,67.8778,77.8778,93.8752,3,0,1,6553.7,120.102,-0.00507346,2.08632,0.039022,100.925,100.924,101.85,101.849,0.338012,-1,-1,-1,-1,-1,1,0,0,3,0.000444761,-90,-45,0,45,90,0,1,2,136.19,84.47,0,,0,12.994,20.41
0.00274757,5.02,0,67.8778,77.8778,93.8752,3,0,1,6553.7,120.102,-0.00507346,2.08632,0.039022,100.925,100.924,101.85,101.849,0.338012,-1,-1,-1,-1,-1,1,0,0,3,0.000444761,-90,-45,0,45,90,0,1,3,180.1,179.82,0,,0,9.02,100.71
0.00185154,6.01,0,102.698,112.698,93.8455,3,0,1,7415.19,135.192,-0.0069132,2.34593,0.0255411,113.521,113.519,117.686,117.686,0.335915,-1,-1,-1,-1,-1,0.9,0,0,3,0.000385549,-90,-45,0,45,90,0,1,2,136.19,84.47,0,,0,12.994,20.41
0.00185154,6.01,0,102.698,112.698,93.8455,3,0,1,7415.19,135.192,-0.0069132,2.34593,0.0255411,113.521,113.519,117.686,117.686,0.335915,-1,-1,-1,-1,-1,0.9,0,0,3,0.000385549,-90,-45,0,45,90,0,1,3,180.1,179.82,0,,0,9.02,100.71
0.00123879,7,0,142.229,152.229,93.8116,4,0,1,6253.42,149.835,-0.00555458,2.7307,0.0152509,125.914,125.912,127.068,127.066,0.333384,-1,-1,-1,-1,-1,0.9,0,0,4,0.000445634,-90,-45,0,45,90,0,1,2,136.19,84.47,0,,0,12.994,20.41
0.00123879,7,0,142.229,152.229,93.8116,4,0,1,6253.42,149.835,-0.00555458,2.7307,0.0152509,125.914,125.912,127.068,127.066,0.333384,-1,-1,-1,-1,-1,0.9,0,0,4,0.000445634,-90,-45,0,45,90,0,1,3,180.1,179.82,0,,0,9.02,100.71
-0.0576723,8.01,0,185.768,195.768,93.781,4,0,1,6831.19,160.218,-1.40276,3.4266,0.0949834,134.394,133.649,138.022,138.022,0.329813,-1,-1,-1,-1,-1,0.9,0.03260065,0,4,0.0347987,-90,-45,0,45,90,0,1,2,136.19,84.47,0,,0,12.994,20.41
-0.0576723,8.01,0,185.768,195.768,93.781,4,0,1,6831.19,160.218,-1.40276,3.4266,0.0949834,134.394,133.649,138.022,138.022,0.329813,-1,-1,-1,-1,-1,0.9,0.03260065,0,4,0.0347987,-90,-45,0,45,90,0,1,3,180.1,179.82,0,,0,9.02,100.71
0.067075,9.01,0,231.342,241.342,93.7466,4,0,1,7134.7,167.231,-2.0349,-0.835557,-0.37558,140.045,139.688,144.13,144.13,0.329875,-1,-1,-1,-1,-1,0.9,0.0341502,0,4,0.0183004,-90,-45,0,45,90,0,1,2,136.19,84.47,0,,0,12.994,20.41
0.067075,9.01,0,231.342,241.342,93.7466,4,0,1,7134.7,167.231,-2.0349,-0.835557,-0.37558,140.045,139.688,144.13,144.13,0.329875,-1,-1,-1,-1,-1,0.9,0.0341502,0,4,0.0183004,-90,-45,0,45,90,0,1,3,180.1,179.82,0,,0,9.02,100.71
0.042684,10.01,0,278.861,288.861,93.7116,4,0,1,7508.79,175.615,0.0731429,-1.66012,-0.817505,148.126,146.541,151.682,151.682,0.33031,-1,-1,-1,-1,-1,0.9,0,0,4,0.158243192,-90,-45,0,45,90,0,1,2,136.19,84.47,0,,0,12.994,20.41
0.042684,10.01,0,278.861,288.861,93.7116,4,0,1,7508.79,175.615,0.0731429,-1.66012,-0.817505,148.126,146.541,151.682,151.682,0.33031,-1,-1,-1,-1,-1,0.9,0,0,4,0.158243192,-90,-45,0,45,90,0,1,3,180.1,179.82,0,,0,9.02,100.71
-0.051133,11.01,0,323.851,333.851,93.6919,3,0,1,7487.21,137.761,-6.34743,-2.06157,-0.873597,108.052,102.215,118.837,118.837,0.334667,-1,-1,-1,-1,-1,0.9,0.4,0,3,0.016142793,-90,-45,0,45,90,0,1,2,136.19,84.47,0,,0,12.994,20.41
-0.051133,11.01,0,323.851,333.851,93.6919,3,0,1,7487.21,137.761,-6.34743,-2.06157,-0.873597,108.052,102.215,118.837,118.837,0.334667,-1,-1,-1,-1,-1,0.9,0.4,0,3,0.016142793,-90,-45,0,45,90,0,1,3,180.1,179.82,0,,0,9.02,100.71
0.0367046,12.01,0,356.893,366.893,93.6609,2,0,1,7576.69,101.495,-0.466297,-2.55491,-0.858101,75.4804,70.263,88.6208,88.6208,0.339591,-1,-1,-1,-1,-1,0.9,0.4,0,2,0.152327055,-90,-45,0,45,90,0,1,2,136.19,84.47,0,,0,12.994,20.41
0.0367046,12.01,0,356.893,366.893,93.6609,2,0,1,7576.69,101.495,-0.466297,-2.55491,-0.858101,75.4804,70.263,88.6208,88.6208,0.339591,-1,-1,-1,-1,-1,0.9,0.4,0,2,0.152327055,-90,-45,0,45,90,0,1,3,180.1,179.82,0,,0,9.02,100.71
-0.0508239,13.01,0,384.623,394.623,93.6239,2,0,1,7374.07,97.1756,-0.483256,-2.75167,-0.765864,68.1139,59.1962,86.2549,86.2549,0.339742,-1,-1,-1,-1,-1,0.9,0.3,0,2,0.7129556,-90,-45,0,45,90,0,1,2,136.19,84.47,0,,0,12.994,20.41
-0.0508239,13.01,0,384.623,394.623,93.6239,2,0,1,7374.07,97.1756,-0.483256,-2.75167,-0.765864,68.1139,59.1962,86.2549,86.2549,0.339742,-1,-1,-1,-1,-1,0.9,0.3,0,2,0.7129556,-90,-45,0,45,90,0,1,3,180.1,179.82,0,,0,9.02,100.71
-0.501963,14.01,0,408.067,418.067,93.5919,2,0,1,6240.62,82.1836,-1.03884,-2.34038,0.363425,65.2491,61.0268,72.9838,72.9838,0.341905,-1,-1,-1,-1,-1,0.9,0.2534795,0,2,0.243041,-90,-45,0,45,90,0,1,2,136.19,84.47,0,,0,12.994,20.41
-0.501963,14.01,0,408.067,418.067,93.5919,2,0,1,6240.62,82.1836,-1.03884,-2.34038,0.363425,65.2491,61.0268,72.9838,72.9838,0.341905,-1,-1,-1,-1,-1,0.9,0.2534795,0,2,0.243041,-90,-45,0,45,90,0,1,3,180.1,179.82,0,,0,9.02,100.71
0.404384,15.01,0,433.997,443.997,93.5601,2,0,1,6382.8,84.4624,5.37421,-3.5922,0.961828,69.2334,16.6295,74.6618,74.6618,0.35703,-1,-1,-1,-1,-1,0.9,0.204561,0,2,0.552377886,-90,-45,0,45,90,0,1,2,136.19,84.47,0,,0,12.994,20.41
0.404384,15.01,0,433.997,443.997,93.5601,2,0,1,6382.8,84.4624,5.37421,-3.5922,0.961828,69.2334,16.6295,74.6618,74.6618,0.35703,-1,-1,-1,-1,-1,0.9,0.204561,0,2,0.552377886,-90,-45,0,45,90,0,1,3,180.1,179.82,0,,0,9.02,100.71
-0.0728281,16.012,0,457.056,467.056,93.5263,2,0,1,7420.36,79.3412,-20.0755,-1.38247,-0.157361,62.806,56.5851,86.7913,86.7913,0.344007,-1,-1,-1,-1,-1,0.9,0.0323931,0,2,0.6852138,-90,-45,0,45,90,0,1,2,136.19,84.47,0,,0,12.994,20.41
-0.0728281,16.012,0,457.056,467.056,93.5263,2,0,1,7420.36,79.3412,-20.0755,-1.38247,-0.157361,62.806,56.5851,86.7913,86.7913,0.344007,-1,-1,-1,-1,-1,0.9,0.0323931,0,2,0.6852138,-90,-45,0,45,90,0,1,3,180.1,179.82,0,,0,9.02,100.71
-0.588748,17.002,0,477.846,487.846,93.4935,2,0,1,5941.71,67.2084,-20.3181,-3.16734,-0.181198,44.7467,32.7002,69.5347,69.5347,0.346245,-1,-1,-1,-1,-1,0.9,0.287806,0,2,0.174388,-90,-45,0,45,90,0,1,2,136.19,84.47,0,,0,12.994,20.41
-0.588748,17.002,0,477.846,487.846,93.4935,2,0,1,5941.71,67.2084,-20.3181,-3.16734,-0.181198,44.7467,32.7002,69.5347,69.5347,0.346245,-1,-1,-1,-1,-1,0.9,0.287806,0,2,0.174388,-90,-45,0,45,90,0,1,3,180.1,179.82,0,,0,9.02,100.71
