lap,avg_speed,min_speed,max_brake,brake_start,brake_duration,sector_time,throttle_reapply,sector
1,13.75,13.75,0,,0,0,3599.99,11
2,107.03,57.59,0.4,323.85,7.004,16.998,14.9,1
2,106.6,89.75,0.35,744.01,0.99,8.998,560.59,2
2,130.92,105.54,0.3,975.76,1,6.99,854.75,3
2,147.73,94.47,0.3,1447.56,2,11,1150.82,4
2,147.2,120.07,0.3,1861.48,1,8,1639.08,5
2,96.22,47.32,0.3,2229.87,11.99,17.004,2009.36,6
2,72.3,58.03,0.13,2499.99,0,3.014,2479.55,7
2,127.02,119.74,0.3,2605.46,0,6.006,2571.98,8
2,117.79,99.92,0.3,2864.46,4.004,6.006,2824.19,9
2,106.01,57.35,0.35,3176.63,2.992,7.986,3053.51,10
2,117.1,57.35,0.35,2499.99,22.99,34.012,2479.55,11
3,134.98,69.81,0.4,333.46,6.006,13.002,54.03,1
3,105.58,89.93,0.35,567.04,8.004,8.004,567.04,2
3,129.12,110.52,0.3,985.67,1,8,830.24,3
3,147.21,94.46,0.3,1457.07,2,11,1159.94,4
3,147.49,122.28,0.3,1870.36,1,8,1646.35,5
3,94.58,47.09,0.3,2194.7,12,17,2017.5,6
3,66.22,59.26,0.19,2499.66,1,3,2479.44,7
3,125.68,113.93,0.3,2594.56,5,6,2562.23,8
3,118.67,99.82,0.3,2854.1,3,7,2813.54,9
3,99.29,54.1,0.35,3162.75,4,8,3078.44,10
3,113.58,54.1,0.35,2499.66,27,34,2479.44,11
4,164.98,153.99,0,,0,2,51.2,1
