angle,curLapTime,damage,distFromStart,distRaced,fuel,gear,lastLapTime,opponents_0,opponents_1,opponents_2,opponents_3,opponents_4,opponents_5,opponents_6,opponents_7,opponents_8,opponents_9,opponents_10,opponents_11,opponents_12,opponents_13,opponents_14,opponents_15,opponents_16,opponents_17,opponents_18,opponents_19,opponents_20,opponents_21,opponents_22,opponents_23,opponents_24,opponents_25,opponents_26,opponents_27,opponents_28,opponents_29,opponents_30,opponents_31,opponents_32,opponents_33,opponents_34,opponents_35,racePos,rpm,speedX,speedY,speedZ,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,trackPos,wheelSpinVel_0,wheelSpinVel_1,wheelSpinVel_2,wheelSpinVel_3,z,focus_0,focus_1,focus_2,focus_3,focus_4,accel,brake,clutch,gear,steer,focus_0,focus_1,focus_2,focus_3,focus_4,meta
0.0110375,1.004,1,3270.98,1.57959,93.9774,1,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,13.2514,200,200,200,200,1,1672.5,14.0047,0.0687671,0.0430892,14.2292,31.5757,50.4808,89.7142,169.384,200,200,200,200,200,200,200,200,200,200,150.96,91.6804,59.6757,28.0472,0.336673,12.4657,11.6291,12.003,12.003,0.34536,-1,-1,-1,-1,-1,0.9,0,0,1,-0.029674921,-90,-45,0,45,90,0
0.0144665,2.006,1,3278.29,8.88721,93.9668,1,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,12.0247,200,200,200,200,1,5949.28,42.1674,0.740701,-0.0343749,14.3089,31.9714,51.4632,92.75,180.237,200,200,200,200,200,200,200,200,200,200,147.044,90.2069,59.0473,27.925,0.335302,35.3291,35.395,43.9252,43.9252,0.344835,-1,-1,-1,-1,-1,0.9,0,0,1,0.025557842,-90,-45,0,45,90,0
0.012624,3.018,1,3293.74,24.3354,93.9486,2,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,9.92508,200,200,200,200,1,4995.13,65.8648,0.500368,0.101664,14.3243,31.8875,51.1393,91.4675,174.956,200,200,200,200,200,200,200,200,200,200,148.82,90.8081,59.2627,27.9337,0.333324,55.2814,55.2804,58.2044,58.2044,0.343813,-1,-1,-1,-1,-1,0.9,0,0,2,0.000862882,-90,-45,0,45,90,0
0.0122089,4.008,1,20.4091,45.4075,93.9299,3,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,7.71407,200,200,200,200,200,1,4627.14,84.4705,0.55128,0.121933,14.4808,32.2091,51.6124,92.1581,175.669,200,200,200,200,200,200,200,200,200,200,148.43,90.459,58.9946,27.7863,0.325755,70.9318,70.9248,73.3817,73.3817,0.341917,-1,-1,-1,-1,-1,0.9,0,0,3,-0.000797772,-90,-45,0,45,90,0
0.0118278,5.02,1,46.5483,71.5466,93.9084,3,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,6.62535,200,200,200,200,200,200,200,200,200,2,5587.92,101.734,0.636858,0.147144,14.6846,32.6377,52.2598,93.1704,177.041,200,200,200,200,200,200,200,200,200,200,147.754,89.9453,58.6227,27.5921,0.315996,85.4202,85.4243,88.7181,88.7181,0.340362,-1,-1,-1,-1,-1,0.9,0,0,3,-0.001616049,-90,-45,0,45,90,0
0.0113946,6.01,1,76.9946,101.993,93.8808,3,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,8.23348,200,200,200,200,200,200,200,200,200,200,200,200,2,6572.63,119.807,0.711263,0.16811,14.9177,33.1271,52.9981,94.3225,178.599,200,200,200,200,200,200,200,200,200,200,146.973,89.3542,58.1958,27.3696,0.304831,100.597,100.593,104.327,104.327,0.338284,-1,-1,-1,-1,-1,0.9,0,0,3,-0.001486883,-90,-45,0,45,90,0
0.0108747,7,1,110.028,135.026,93.8735,4,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,13.1027,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,2,5210.97,121.73,0.678571,0.150739,15.1681,33.6483,53.777,95.5101,180.092,200,200,200,200,200,200,200,200,200,200,146.182,88.735,57.7428,27.1307,0.292788,102.226,102.241,105.199,105.199,0.337724,-1,-1,-1,-1,-1,0.9,0,0,4,-0.003668915,-90,-45,0,45,90,0
0.0104594,8.01,1,145.968,170.966,93.8495,4,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,20.7096,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,2,5751.95,134.488,0.728471,0.169933,15.4263,34.1929,54.6031,96.8177,200,200,200,200,200,200,200,200,200,200,200,145.236,88.0509,57.2581,26.8826,0.280442,112.951,112.947,116.204,116.204,0.336436,-1,-1,-1,-1,-1,0.9,0,0,4,-0.001720696,-90,-45,0,45,90,0
0.00990124,9.01,1,185.108,210.107,93.8221,4,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,28.2458,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,2,6297.83,147.327,0.748854,0.182241,15.6933,34.7462,55.4263,98.0615,200,200,200,200,200,200,200,200,200,198.272,178.429,139.409,87.3841,56.7715,26.6269,0.267572,123.728,123.73,127.216,127.216,0.33404,-1,-1,-1,-1,-1,0.9,0,0,4,-0.003016208,-90,-45,0,45,90,0
0.00947238,10.01,1,226.642,251.64,93.8102,5,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,36,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,2,5228.93,150.134,0.760382,0.179414,15.9631,35.3136,56.2846,200,200,200,200,200,196.444,190.967,185.547,180.189,172.801,164.53,149.582,122.277,86.0342,56.2608,26.3666,0.254653,126.165,126.157,127.321,127.313,0.333651,-1,-1,-1,-1,-1,0.9,0,0,5,-0.002046704,-90,-45,0,45,90,0
0.0088855,11.01,1,268.242,293.24,93.8042,4,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,46.3664,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,2,6161.16,149.43,0.725712,0.155894,16.2043,35.8257,62.7922,200,187.119,172.747,165.359,159.065,154.671,150.365,146.149,142.026,136.412,130.229,119.322,100.233,76.0233,54.4466,26.1355,0.24294,125.559,125.572,126.711,126.724,0.333473,-1,-1,-1,-1,-1,0.9,0,0,4,-0.00485158,-90,-45,0,45,90,0
0.00972335,12.01,1,309.924,334.923,93.7956,5,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,58.9751,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,2,5198.98,149.913,0.2407,1.01326,16.7676,43.5501,200,174.69,148.461,136.531,130.515,125.454,121.955,118.555,115.253,112.048,107.725,103.016,94.8346,80.8492,63.4594,47.7841,25.3058,0.2297,126.44,125.507,127.575,126.683,0.334833,-1,-1,-1,-1,-1,0.9,0,0,4,0.03979897,-90,-45,0,45,90,0
0.00885309,13.01,1,351.81,376.808,93.7884,4,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,73.6371,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,2,6152.56,149.13,0.0341713,3.40442,17.3126,45.1619,200,173.783,147.683,135.697,129.654,124.573,121.06,117.648,114.334,111.119,106.784,102.064,93.8699,79.8867,62.5549,46.998,24.8138,0.204342,125.589,125.047,126.726,126.204,0.332275,-1,-1,-1,-1,-1,0.9,0,0,4,0.019086916281710747,-90,-45,0,45,90,0
0.00826344,14.01,1,393.645,418.643,93.7781,4,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,90.14,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,2,6389.42,149.581,0.0856018,4.41345,17.8065,46.6687,200,169.707,145.813,134.481,128.638,123.65,120.163,116.745,113.423,110.201,105.858,101.131,92.9328,78.9637,61.7012,46.2668,24.3656,0.181514,125.883,125.378,129.113,129.113,0.333688,-1,-1,-1,-1,-1,0.9,0,0,4,0.020917851891103775,-90,-45,0,45,90,0
