speedX,speedY,speedZ,rpm,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,wheelSpinVel_0,wheelSpinVel_1,wheelSpinVel_2,wheelSpinVel_3,steer,accel,brake
-0.0178475,0.0000102594,-0.0476254,942.478,4.00211,4.14843,4.63361,5.68613,8.06883,11.8655,16.1547,200,105.911,63.0471,45.1269,34.6376,27.2256,22.0578,15.7871,11.2589,9.21073,8.26991,7.99801,0,0,0,0,-0.0142910655,0.6,0
-0.0643868,-0.00356121,-0.0250913,942.478,4.0032,4.14918,4.63396,5.68573,8.06624,11.8572,16.1346,200,106.192,63.144,45.1748,34.67,27.2476,22.0724,15.7938,11.2611,9.21126,8.26952,7.99691,1.02284,0.666439,1.31293,-1.72758,-0.02433761835,0.6,0
1.89305,-0.00183444,0.011214,942.478,4.00325,4.14898,4.6334,5.6845,8.06313,11.8509,16.1274,200,106.296,63.1594,45.1717,34.6689,27.2489,22.075,15.7974,11.2636,9.2124,8.26996,7.99685,2.85745,0.413979,1.32656,1.32656,-0.031403917845,0.6,0
3.7829,-0.0430435,0.0356371,942.478,4.00496,4.15145,4.63708,5.69054,8.07548,11.8817,16.2095,200,105.499,62.8145,44.9643,34.5269,27.1551,22.0138,15.7709,11.2541,9.20712,8.26683,7.99517,6.39625,0.0981381,2.78783,2.78783,-0.0362428209915,0.6,0
5.65632,-0.0449918,0.0520764,942.478,4.00788,4.15564,4.64325,5.70064,8.09604,11.9346,16.3504,200,104.199,62.2487,44.6229,34.293,27.0003,21.9125,15.7267,11.2385,9.19833,8.26158,7.99231,8.77341,2.24675,4.31463,4.31463,-0.03945263469405,0.6,0
7.57447,-0.0464426,0.104751,942.478,4.01261,4.16232,4.65302,5.71652,8.12825,12.0197,16.5736,200,102.297,61.4216,44.1258,33.9515,26.773,21.7623,15.6594,11.2143,9.18461,8.25331,7.98771,7.68859,6.24169,5.96391,5.96391,-0.041425365785835,0.6,0
9.569,-0.0655687,0.135663,1084.01,4.01998,4.17249,4.66767,5.74005,8.1755,12.1484,16.9071,200,99.752,60.3125,43.4602,33.4927,26.4652,21.5569,15.5643,11.1792,9.16452,8.24096,7.98057,7.493,8.03796,7.6886,7.6886,-0.0424135985500845,0.6,0
11.6312,-0.0852418,0.117735,1347.63,4.03078,4.18691,4.68798,5.77211,8.23888,12.3292,17.3771,200,96.6643,58.9484,42.6373,32.923,26.0806,21.2974,15.4409,11.1332,9.13758,8.22392,7.97014,8.30549,8.91864,9.50645,9.50645,-0.0425973039850592,0.6,0
13.694,-0.0936599,0.160322,1597.21,4.04596,4.20649,4.71487,5.81368,8.31954,12.5733,18.0232,200,93.1508,57.3628,41.6704,32.2511,25.6237,20.9862,15.2887,11.0755,9.10324,8.20147,7.95554,9.94372,13.517,11.3653,11.3653,-0.0421079877895414,0.6,0
15.891,-0.11934,0.151403,1962.58,4.06699,4.23305,4.75078,5.86846,8.42906,12.9126,18.9536,200,89.1079,55.5027,40.5272,31.4527,25.0763,20.6084,15.098,10.9985,9.05884,8.17171,7.93538,12.3634,13.4473,14.5593,14.5593,-0.040992456452679,0.6,0
